Date,Open,High,Low,Close,Volume
2/28/2020,257.26, 278.41 ,256.37 ,273.36 ,106721200
2/27/2020,281.10 ,286 ,272.96 ,273.52 ,80151380
2/26/2020,286.53 ,297.88 ,286.50 ,292.65 ,49678430
2/25/2020,300.95 ,302.53 ,286.13 ,288.08 ,57668360
2/24/2020,297.26 ,304.18 ,289.23 ,298.18 ,55548830
2/21/2020,318.62 ,320.45 ,310.50 ,313.05 ,32426420
2/20/2020,322.63 ,324.65 ,318.21 ,320.30 ,25141490
2/19/2020,320 ,324.57 ,320 ,323.62 ,23495990
2/18/2020,315.36 ,319.75 ,314.61 ,319 ,38190550
2/14/2020,324.74 ,325.98 ,322.85 ,324.95 ,20028450
2/13/2020,324.19 ,326.22 ,323.35 ,324.87 ,23686890
2/12/2020,321.47 ,327.22 ,321.47 ,327.20 ,28432570
2/11/2020,323.60 ,323.90 ,318.71 ,319.61 ,23580780
2/10/2020,314.18 ,321.55 ,313.85 ,321.55 ,27337220
2/7/2020,322.37 ,323.40 ,318 ,320.03 ,29421010
2/6/2020,322.57 ,325.22 ,320.26 ,325.21 ,26356390
2/5/2020,323.52 ,324.76 ,318.95 ,321.45 ,29706720
2/4/2020,315.31 ,319.64 ,313.63 ,318.85 ,34154130
2/3/2020,304.30 ,313.49 ,302.22 ,308.66 ,43496400
1/31/2020,320.93 ,322.68 ,308.29 ,309.51 ,49897100
1/30/2020,320.54 ,324.09 ,318.75 ,323.87 ,31685810
1/29/2020,324.45 ,327.85 ,321.38 ,324.34 ,54149930
1/28/2020,312.60 ,318.40 ,312.19 ,317.69 ,40558490
1/27/2020,310.06 ,311.77 ,304.88 ,308.95 ,40485010
1/24/2020,320.25 ,323.33 ,317.52 ,318.31 ,36634380
1/23/2020,317.92 ,319.56 ,315.65 ,319.23 ,26117990
1/22/2020,318.58 ,319.99 ,317.31 ,317.70 ,25458120
1/21/2020,317.19 ,319.02 ,316 ,316.57 ,27710810
1/17/2020,316.27 ,318.74 ,315 ,318.73 ,34454120
1/16/2020,313.59 ,315.70 ,312.09 ,315.24 ,27207250
1/15/2020,311.85 ,315.50 ,309.55 ,311.34 ,30480880
1/14/2020,316.70 ,317.57 ,312.17 ,312.68 ,40653460
1/13/2020,311.64 ,317.07 ,311.15 ,316.96 ,30521720
1/10/2020,310.60 ,312.67 ,308.25 ,310.33 ,35217270
1/9/2020,307.24 ,310.43 ,306.20 ,309.63 ,42621540
1/8/2020,297.16 ,304.44 ,297.16 ,303.19 ,33090950
